NACA 0012
Sheldahl, R. E. and Klimas, P. C., Aerodynamic Characteristics of Seven Airfoil Sections Through 180 Degrees Angle of Attack for Use in Aerodynamic Analysis of Vertical Axis Wind Turbines,
SAND80-2114, March 1981, Sandia National Laboratories, Albuquerque, New Mexico.
1        Number of airfoil tables in this file
3.6     Reynolds numbers in millions
0.0      Control setting
0.0     Stall angle (deg)
0.0   Zero Cn angle of attack (deg)
0.0   Cn slope for zero lift (dimensionless)
0.0   Cn extrapolated to value at positive stall angle of attack
0.0   Cn at stall value for negative angle of attack
0.0   Angle of attack for minimum CD (deg)
0.0   Minimum CD value
-180.0000 -0.0000 .0250
-175.0000 .6900 .0550
-170.0000 .8500 .1400
-165.0000 .6750 .2300
-160.0000 .6600 .3200
-155.0000 .7400 .4200
-150.0000 .8500 .5750
-145.0000 .9100 .7550
-140.0000 .9450 .9250
-135.0000 .9450 1.0850
-130.0000 .9100 1.2250
-125.0000 .8400 1.3500
-120.0000 .7350 1.4650
-115.0000 .6250 1.5550
-110.0000 .5100 1.6350
-105.000 .3700 1.7000
-100.000 .22 1.7500
-95.0000 .0700 1.7800
-90.0000 -.0700 1.8000
-85.000 -.2200 1.8000
-80.0000 -.3700 1.7800
-75.0000 -.5150 1.7350
-70.0000 -0.6500 1.6650
-65.0000 -.7650 1.5750
-60.000 -.8750 1.4700
-55.00000 -.9650 1.3450
-50.0000 -1.0400 1.2150
-45.0000 -1.0850 1.0750
-40.0000 -1.0750 .9200
-35.0000 -1.0200 .7450
-30.0000 -.9150 .5700
-27.0000 -.9846 .4730
-26.0000 -.9313 .4460
-25.0000 -.8780 .4200
-24.0000 -.8246 .3940
-23.0000 -.7715 .3690
-22.0000  -.7179 .3440
-21.0000 -.6643 .3200
-20.0000 -.6120 .2970
-19.0000 -.5591 .2740
-18.0000 -.5047 .2520
-17.0000 -.4455 .2310
-15.0000 -.3792 .2100
-15.0000 -.3306 .1900
-14.0000 -.2893 .1060
-13.0000 -.2759 .0222
-12.0000 -.4832 .0217
-11.0000 -.9132 .0204
-10.0000 -.9811 .0184
-9.0000 -.9352 .0167
-8.00000 -.8542 .0153
-7.0000 -.7700 .0135
-6.0000 -.6600 .0125
-5.0000 -.5500 .0113
-4.0000 -.4400 .0098
-3.00000 -.3300 .0089
-2.0000 -.2200 .0084
-1.0000 -.1100 .0080
0.0000 0.0000 .0079
1.0000 .1100 .0080
2.0000 .2200 .0084
3.00000 .3300 .0089
4.0000 .4400 .0098
5.0000 .5500 .0113
6.0000 .6600 .0125
7.0000 .7700 .0135
8.00000 .8542 .0153
9.0000 .9352 .0167
10.0000 .9811 .0184
11.0000 .9132 .0204
12.0000 .4832 .0217
13.0000 .2759 .0222
14.0000 .2893 .1060
15.0000 .3306 .1900
15.0000 .3792 .2100
17.0000 .4455 .2310
18.0000 .5047 .2520
19.0000 .5591 .2740
20.0000 .6120 .2970
21.0000 .6643 .3200
22.0000  .7179 .3440
23.0000 .7715 .3690
24.0000 .8246 .3940
25.0000 .8780 .4200
26.0000 .9313 .4460
27.0000 .9846 .4730
30.0000 .9150 .5700
35.0000 1.0200 .7450
40.0000 1.0750 .9200
45.0000 1.0850 1.0750
50.0000 1.0400 1.2150
55.00000 .9650 1.3450
60.000 .8750 1.4700
65.0000 .7650 1.5750
70.0000 0.6500 1.6650
75.0000 .5150 1.7350
80.0000 .3700 1.7800
85.000 .2200 1.8000
90.0000 .0700 1.8000
95.0000 -.0700 1.7800
100.000 -.22 1.7500
105.000 -.3700 1.7000
110.0000 -.5100 1.6350
115.0000 -.6250 1.5550
120.0000 -.7350 1.4650
125.0000 -.8400 1.3500
130.0000 -.9100 1.2250
135.0000 -.9450 1.0850
140.0000 -.9450 .9250
145.0000 -.9100 .7550
150.0000 -.8500 .5750
155.0000 -.7400 .4200
160.0000 -.6600 .3200
165.0000 -.6750 .2300
170.0000 -.8500 .1400
175.0000 -.6900 .0550
180.0000 0.0000 .0250
EOT
